FOLSYN-PWY	"Cofactor, Prosthetic Group, Electron Carrier, and Vitamin Biosynthesis"
FORMASS-PWY	C1 Compound Utilization and Assimilation
FUC-RHAMCAT-PWY	superpathway of fucose and rhamnose degradation
FUCCAT-PWY	Carbohydrate Degradation
GALACT-GLUCUROCAT-PWY	superpathway of hexuronide and hexuronate degradation
GALACTARDEG-PWY	Secondary Metabolite Degradation
GALACTCAT-PWY	Secondary Metabolite Degradation
GALACTITOLCAT-PWY	Secondary Metabolite Degradation
GALACTUROCAT-PWY	Secondary Metabolite Degradation
GALDEG-PWY	Carbohydrate Degradation
GALLATE-DEGRADATION-I-PWY	Aromatic Compound Degradation
GALLATE-DEGRADATION-II-PWY	Aromatic Compound Degradation
GAMMAHEXCHLORDEG-PWY	Chlorinated Compound Degradation
GDPRHAMSYN-PWY	Carbohydrate Biosynthesis
GLCMANNANAUT-PWY	Amine and Polyamine Degradation
GLNSYN-PWY	Inorganic Nutrient Metabolism
GLUAMCAT-PWY	Secondary Metabolite Degradation
GLUCARDEG-PWY	Secondary Metabolite Degradation
GLUCARGALACTSUPER-PWY	superpathway of D-glucarate and D-galactarate degradation
GLUCONEO-PWY	Carbohydrate Biosynthesis
GLUCONSUPER-PWY	Carboxylate Degradation
GLUCOSE1PMETAB-PWY	Carbohydrate Degradation
GLUCUROCAT-PWY	Secondary Metabolite Degradation
GLUDEG-II-PWY	Fermentation
GLUT-REDOX-PWY	"Cofactor, Prosthetic Group, Electron Carrier, and Vitamin Biosynthesis"
GLUTAMATE-DEG1-PWY	Amino Acid Degradation
GLUTAMATE-SYN2-PWY	Amino Acid Biosynthesis
GLUTAMINDEG-PWY	Amino Acid Degradation
GLUTAMINEFUM-PWY	Amino Acid Degradation
GLUTATHIONESYN-PWY	"Cofactor, Prosthetic Group, Electron Carrier, and Vitamin Biosynthesis"
GLUTDEG-PWY	Amino Acid Degradation
GLUTORN-PWY	Amino Acid Biosynthesis
GLUTSYN-PWY	Amino Acid Biosynthesis
GLUTSYNIII-PWY	Amino Acid Biosynthesis
GLYCEROLMETAB-PWY	Alcohol Degradation
GLYCLEAV-PWY	Amino Acid Degradation
GLYCOCAT-PWY	Polymeric Compound Degradation
GLYCOGENSYNTH-PWY	Glycan Biosynthesis
GLYCOL-GLYOXDEG-PWY	Alcohol Degradation
GLYCOLATEMET-PWY	Carboxylate Degradation
GLYCOLYSIS	Glycolysis
GLYCOLYSIS-E-D	superpathway of glycolysis and the Entner-Doudoroff pathway
GLYCOLYSIS-TCA-GLYOX-BYPASS	"superpathway of glycolysis, pyruvate dehydrogenase, TCA, and glyoxylate bypass"
GLYOXDEG-PWY	Carboxylate Degradation
GLYOXYLATE-BYPASS	glyoxylate cycle
GLYSYN-ALA-PWY	Amino Acid Biosynthesis
GLYSYN-PWY	Amino Acid Biosynthesis
GOLPDLCAT-PWY	Alcohol Degradation
HCAMHPDEG-PWY	Aromatic Compound Degradation
HEME-BIOSYNTHESIS-II	"Cofactor, Prosthetic Group, Electron Carrier, and Vitamin Biosynthesis"
HEMESYN2-PWY	"Cofactor, Prosthetic Group, Electron Carrier, and Vitamin Biosynthesis"
HEXITOLDEGSUPER-PWY	Secondary Metabolite Degradation
HEXPPSYN-PWY	"Cofactor, Prosthetic Group, Electron Carrier, and Vitamin Biosynthesis"
HISDEG-PWY	Amino Acid Degradation
HISTDEG-PWY	Amino Acid Degradation
HISTSYN-PWY	Amino Acid Biosynthesis
HOMOCYSDEGR-PWY	Amino Acid Degradation
HOMOSER-METSYN-PWY	Amino Acid Biosynthesis
HOMOSER-THRESYN-PWY	Amino Acid Biosynthesis
HOMOSERSYN-PWY	Amino Acid Biosynthesis
HSERMETANA-PWY	Amino Acid Biosynthesis
IDNCAT-PWY	Secondary Metabolite Degradation
ILEUDEG-PWY	Amino Acid Degradation
ILEUSYN-PWY	Amino Acid Biosynthesis
KDO-LIPASYN-PWY	Fatty Acid and Lipid Biosynthesis
KDO-NAGLIPASYN-PWY	Cell Structure Biosynthesis
KDOSYN-PWY	Cell Structure Biosynthesis
KETOGLUCONMET-PWY	Secondary Metabolite Degradation
LACTOSECAT-PWY	Carbohydrate Degradation
LACTOSEUTIL-PWY	Carbohydrate Degradation
LARABITOLUTIL-PWY	Secondary Metabolite Degradation
LCYSDEG-PWY	Amino Acid Degradation
LEU-DEG2-PWY	Amino Acid Degradation
LEUSYN-PWY	Amino Acid Biosynthesis
LIPA-CORESYN-PWY	Carbohydrate Biosynthesis
LIPAS-PWY	Fatty Acid and Lipid Degradation
LIPASYN-PWY	Fatty Acid and Lipid Degradation
LPSSYN-PWY	Fatty Acid and Lipid Biosynthesis
LYXMET-PWY	Carbohydrate Degradation
M-CRESOL-DEGRADATION-PWY	Aromatic Compound Degradation
MALTOSECAT-PWY	Carbohydrate Degradation
MANNCAT-PWY	Carbohydrate Degradation
MANNIDEG-PWY	Secondary Metabolite Degradation
MENAQUINONESYN-PWY	"Cofactor, Prosthetic Group, Electron Carrier, and Vitamin Biosynthesis"
